,nombre,Ciudad,Departamento,Pais,descripcion,latitud,longitud
73,M&R Ricuras Venezolanas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.128681599999999,-75.379718
74,Matajo Burger,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1466924,-75.3531043
75,Pollos Llanogrande Al Carbón,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa</span>",6.126055399999999,-75.4181127
76,Domino's Pizza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pizzería</span>",6.1507711,-75.3908781
77,Supermercado Panorama,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.103211,-75.42572799999999
78,fior di latte helado y cafe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Cafetería</span>",6.1487032,-75.38349989999999
79,Niko Parrilla Express,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla</span>",6.1272395,-75.4164863
80,Juan del Alma,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.164244,-75.4559124
81,HOTEL VALLE DE SAN NICOLAS,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1506876,-75.3740098
82,Chef House,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>",6.155291099999999,-75.3720293
83,The Original Ribs,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1498249,-75.41924569999999
84,Amanita Pizza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Pizzería, Restaurante</span>",6.152330099999999,-75.3903204
85,Sabor Dulce y Picante,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1507754,-75.380029
86,Empanadas del gato felix,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1288747,-75.381695
87,Cien Fuegos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.148868,-75.388057
88,Poulet San Antonio,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>",6.1317172,-75.37912949999999
89,La Ruta,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>",6.142179500000001,-75.3730831
90,La Sazón de Pérez,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1263549,-75.38383280000001
91,Wild Wings,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.131181199999999,-75.3989734
92,Hornearte,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Postres</span>",6.132205,-75.40630999999999
93,SNACKS Costillas Y Alitas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1491795,-75.387168
94,Cipriani,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante, Italiana</span>",6.138371999999999,-75.3851725
95,Postrelatto,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1536697,-75.37443189999999
96,Guigos pizzeria express,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida, Pizzería</span>",6.150675,-75.389146
97,Taller de hamburguesas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida</span>",6.1480008,-75.38612189999999
98,el porton llanero,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Barbacoa</span>",6.151650999999999,-75.3751296
99,El Corral,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.1238,-75.42322
100,Las Mil Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>",6.1252837,-75.4236303
101,Bar El Rodeo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>",6.127878,-75.381857
102,Roller Burguer Gourmet,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Restaurante</span>",6.1492959,-75.3910495
103,restaurante orzo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1244352,-75.423408
104,Restaurante Mondongos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.154334,-75.370654
105,CALICHEPAN,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Coffee houses</span>",6.128088,-75.38178599999999
106,Flamas parrilla bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Pub y bar</span>",6.1518577,-75.375452
107,Parrilla bar El Tablón,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar, Barbacoa, Parrilla</span>",6.1304414,-75.3797712
108,Restaurante Bar santa Pieta,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>",6.1479178,-75.3828296
109,Frisby Reserva Plaza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1510722,-75.3925414
110,Brasa y Leña,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.130931700000001,-75.3797037
111,La Parrilla Del Chef,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla</span>",6.1281683,-75.3816812
112,Burger King,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1475838,-75.3787979
113,Rancho Hildebrando,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Restaurante, Pub y bar, Barbacoa</span>",6.1301535,-75.3805837
114,Restaurante Kioskos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.149018799999999,-75.3789523
115,Fuego Sagrado,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.128006999999999,-75.38168449999999
116,Sabor & Arte Al Carbón,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante</span>",6.162326999999999,-75.3689986
117,El Palacio de los Frijoles,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.146711799999999,-75.37939399999999
118,BEEF PARRILLA SAN ANTONIO,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla</span>",6.129978400000001,-75.38133789999999
119,Tucan Cafe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Café, Restaurante</span>",6.1408191,-75.3799817
120,Mall la contenta,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1527749,-75.4096546
121,Minimercado El Llanito,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.150017,-75.395443
122,Pisco y Marisco,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Marisco, Restaurante</span>",6.1247006,-75.42299059999999
123,La Colonia Galeria Gastronomica,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1210673,-75.4281472
124,Brac Food & Wine,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante, Barbacoa</span>",6.1275052,-75.4160739
125,The Fries Expertos En Papas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1274995,-75.3822598
126,Restaurante La Panera,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1508689,-75.3955325
127,El Coyote,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.129354999999999,-75.3800924
128,Donde Martha Comidas Rapidas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.130602199999999,-75.379635
129,Subway,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Marisco, Comida rápida</span>",6.1534026,-75.3747401
130,Mar y Fuego Restaurante - Bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>",6.136921999999999,-75.3911333
131,Hamburguesas Rionegro | Qsollados,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.1480008,-75.38612189999999
132,La Pizarra Gourmet “Bar & Grill”,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Pub y bar, Restaurante</span>",6.1274695,-75.3825731
133,Rollings Deluxe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.125941399999999,-75.41925499999999
134,Comidas Rápidas El Cucho,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1573661,-75.3751477
135,Veggiverso,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Vegetarianos</span>",6.020473399999999,-75.4330923
136,Haré Pa' Tu Gusto,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.149034899999999,-75.3681166
137,El rancho de Juanda,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.157173999999999,-75.37519259999999
138,Helga Pizzeria & La Terraza Bar - La Ceja,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Pizzería, Restaurante</span>",6.0305355,-75.4311227
139,Sr PIG,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.177638,-75.5859524
140,NUNKI WINGS,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.149121399999999,-75.3861811
141,Asados Doña Rosa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Barbacoa</span>",6.1478878,-75.3781642
142,Fonda La Mariana,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.127652599999999,-75.4158147
143,Asadero Rapi Pollo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.152024,-75.3744
144,Simon Panadero,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1562065,-75.3690682
