nombre,Ciudad,Departamento,Pais,descripcion
Niko Parrilla Express,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla</span>"
Juan del Alma,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
HOTEL VALLE DE SAN NICOLAS,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Chef House,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>"
The Original Ribs,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Amanita Pizza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Pizzería, Restaurante</span>"
Sabor Dulce y Picante,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Empanadas del gato felix,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Cien Fuegos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Poulet San Antonio,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>"
La Ruta,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>"
La Sazón de Pérez,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Wild Wings,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Hornearte,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Postres</span>"
SNACKS Costillas Y Alitas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Cipriani,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante, Italiana</span>"
Postrelatto,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Guigos pizzeria express,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida, Pizzería</span>"
Taller de hamburguesas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida</span>"
el porton llanero,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Barbacoa</span>"
El Corral,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Las Mil Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>"
Bar El Rodeo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>"
