nombre,Ciudad,Departamento,Pais,Descripcion,latitud,longitud
HOTEL VALLE DE SAN NICOLAS,Rionegro,Antioquia,Colombia, Restaurante,6.1506876,-75.3740098
Chef House,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1552911,-75.3720293
The Original Ribs,Rionegro,Antioquia,Colombia, Restaurante,6.1498249,-75.4192457
Amanita Pizza,Rionegro,Antioquia,Colombia," Comida rápida, Pizzería, Restaurante",6.1523301,-75.3903204
Sabor Dulce y Picante,Rionegro,Antioquia,Colombia, Restaurante,6.1507754,-75.380029
Empanadas del gato felix,Rionegro,Antioquia,Colombia, Restaurante,6.1288747,-75.381695
Cien Fuegos,Rionegro,Antioquia,Colombia, Restaurante,6.148868,-75.388057
Poulet San Antonio,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1317172,-75.3791295
La Ruta,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1421795,-75.3730831
La Sazón de Pérez,Rionegro,Antioquia,Colombia, Restaurante,6.1263549,-75.3838328
Wild Wings,Rionegro,Antioquia,Colombia, Restaurante,6.1311812,-75.3989734
Hornearte,Rionegro,Antioquia,Colombia, Postres,6.132205,-75.40631
SNACKS Costillas Y Alitas,Rionegro,Antioquia,Colombia, Restaurante,6.1491795,-75.387168
Cipriani,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Italiana",6.138372,-75.3851725
Postrelatto,Rionegro,Antioquia,Colombia, Restaurante,6.1536697,-75.3744319
Guigos pizzeria express,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida, Pizzería",6.150675,-75.389146
Taller de hamburguesas,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida",6.1480008,-75.3861219
el porton llanero,Rionegro,Antioquia,Colombia," Restaurante, Parrilla, Barbacoa",6.151651,-75.3751296
El Corral,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1238,-75.42322
Las Mil Llanogrande,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar",6.1252837,-75.4236303
Bar El Rodeo,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.127878,-75.381857
Roller Burguer Gourmet,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante",6.1492959,-75.3910495
restaurante orzo,Rionegro,Antioquia,Colombia, Restaurante,6.1244352,-75.423408
Restaurante Mondongos,Rionegro,Antioquia,Colombia, Restaurante,6.154334,-75.370654
CALICHEPAN,Rionegro,Antioquia,Colombia," Café, Coffee houses",6.128088,-75.381786
Flamas parrilla bar,Rionegro,Antioquia,Colombia," Restaurante, Parrilla, Pub y bar",6.1518577,-75.375452
Parrilla bar El Tablón,Rionegro,Antioquia,Colombia," Restaurante, Pub y bar, Barbacoa, Parrilla",6.1304414,-75.3797712
Restaurante Bar santa Pieta,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.1479178,-75.3828296
Frisby Reserva Plaza,Rionegro,Antioquia,Colombia, Restaurante,6.1510722,-75.3925414
Brasa y Leña,Rionegro,Antioquia,Colombia, Restaurante,6.1309317,-75.3797037
La Parrilla Del Chef,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1281683,-75.3816812
Burger King,Rionegro,Antioquia,Colombia, Restaurante,6.1475838,-75.3787979
Rancho Hildebrando,Rionegro,Antioquia,Colombia," Café, Restaurante, Pub y bar, Barbacoa",6.1301535,-75.3805837
Restaurante Kioskos,Rionegro,Antioquia,Colombia, Restaurante,6.1490188,-75.3789523
Fuego Sagrado,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.128007,-75.3816845
Sabor & Arte Al Carbón,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.162327,-75.3689986
El Palacio de los Frijoles,Rionegro,Antioquia,Colombia, Restaurante,6.1467118,-75.379394
BEEF PARRILLA SAN ANTONIO,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1299784,-75.3813379
Tucan Cafe,Rionegro,Antioquia,Colombia," Comida rápida, Café, Restaurante",6.1408191,-75.3799817
Mall la contenta,Rionegro,Antioquia,Colombia, Restaurante,6.1527749,-75.4096546
Minimercado El Llanito,Rionegro,Antioquia,Colombia, Restaurante,6.150017,-75.395443
